uid	mid	timeStamp	star
1722994	1306505	2007-08-22	5.0
1405477	10574468	2013-04-24	4.0
15849871	4910186	2011-12-20	5.0
1068524	1304643	2006-02-07	3.0
1307041	1851857	2008-09-22	4.0
1700174	3324130	2010-11-23	4.0
16124523	6860160	2013-03-10	4.0
1562429	1296339	2007-05-28	5.0
1475205	1907467	2008-06-01	4.0
17734699	10574622	2012-12-20	4.0
1484972	5352872	2012-12-19	4.0
1430026	2131650	2010-09-08	4.0
1015409	4004731	2011-11-19	4.0
1371835	1767064	2007-04-24	4.0
17046536	3022862	2011-07-05	4.0
1442320	3901459	2012-11-29	3.0
1320952	2154354	2011-06-18	5.0
1853678	3990500	2010-01-18	3.0
1713100	1972729	2012-02-12	5.0
1090897	1301578	2009-03-20	3.0
1920971	10491666	2012-06-28	5.0
1622026	1972729	2013-04-02	4.0
1789507	1388216	2007-09-24	5.0
10163586	3897667	2010-03-17	3.0
1478286	1296867	2010-06-20	3.0
1685299	2357304	2008-10-12	3.0
1801254	3182864	2010-08-23	4.0
1355147	1291546	2008-01-15	5.0
19556493	1417598	2009-11-07	5.0
1123794	1291869	2006-04-28	4.0
18122670	1451430	2010-05-22	4.0
1923514	1329562	2009-02-08	3.0
13403785	1298525	2011-05-05	4.0
1488111	3289086	2010-09-04	3.0
1218581	2264715	2008-12-09	4.0
1936450	4906427	2012-04-08	4.0
1363814	1412579	2013-02-16	3.0
14340544	4920528	2012-06-16	3.0
10974825	1297574	2012-02-09	4.0
1700330	1921382	2010-03-10	3.0
1425739	5308265	2013-02-10	3.0
1743332	1882503	2007-08-26	4.0
1509359	1293124	2009-04-21	3.0
1467703	1291552	2009-10-30	4.0
1397163	1315316	2007-01-22	5.0
1256060	1812031	2007-09-19	4.0
1016432	10740251	2013-04-21	3.0
1208936	1296987	2009-05-27	5.0
1299248	4904662	2011-09-26	4.0
1232922	3602965	2011-11-02	5.0
1005696	4319218	2011-08-16	4.0
1181216	20378817	2013-04-08	3.0
1544888	4010954	2012-04-24	5.0
1095232	1309011	2006-03-04	5.0
1298658	1417946	2008-02-28	5.0
1856606	1291569	2007-09-22	4.0
14235472	3271273	2010-11-28	5.0
1135922	5360033	2011-12-17	3.0
1832573	1294353	2009-06-21	3.0
1188040	1301630	2011-05-10	3.0
1703381	3569969	2011-02-25	3.0
1778437	1889152	2010-04-06	4.0
15325220	1297747	2011-02-15	5.0
1539935	1292677	2012-09-20	3.0
1376775	4821379	2011-05-11	4.0
1391104	3412830	2010-12-04	3.0
14667392	3184594	2010-07-22	5.0
1539657	1298128	2008-08-18	4.0
1551353	2038365	2008-10-08	4.0
1244527	1305978	2007-12-22	4.0
11420116	6040982	2012-09-08	3.0
1072112	1468155	2006-04-29	3.0
1769372	1817253	2008-09-24	3.0
1341564	1769531	2007-08-10	3.0
1952965	1303394	2007-11-05	5.0
1828988	2340969	2012-03-07	4.0
1018163	2062677	2010-06-27	3.0
1412245	1308819	2007-06-17	3.0
1403194	1309171	2007-01-30	4.0
1679350	1308843	2008-01-12	3.0
1285225	1292722	2006-10-17	3.0
1183610	2357162	2009-12-16	4.0
1256620	1292625	2009-11-18	3.0
1733183	1862151	2007-08-04	4.0
1482474	1309046	2012-05-03	3.0
1421487	1294963	2007-02-14	3.0
18088237	5989843	2012-05-24	3.0
1037369	3986125	2012-01-09	4.0
1514165	1295242	2007-12-13	4.0
1539935	1917171	2012-11-29	5.0
1011608	1300299	2010-02-23	4.0
15400541	2336735	2011-11-11	3.0
1625504	1291557	2008-09-29	4.0
1668468	2132495	2008-11-02	5.0
1097581	1309016	2011-02-26	5.0
1440054	1441017	2007-07-19	5.0
1184427	1483982	2012-06-18	4.0
1491880	1766522	2011-06-07	3.0
1092050	2147121	2007-10-03	4.0
1656336	5193573	2009-07-24	5.0
1395840	1786740	2008-03-11	3.0
10558322	1291552	2012-12-23	5.0
1626011	3560787	2009-03-05	5.0
1018543	3819939	2010-12-21	4.0
1193508	1782004	2006-09-04	5.0
1482273	1464368	2011-03-01	4.0
13685843	1306160	2009-09-27	3.0
1277426	1300193	2011-02-05	4.0
1645044	3148571	2010-05-11	4.0
1649435	4190211	2011-02-24	4.0
1488785	5416070	2011-12-27	5.0
1485399	1787441	2010-04-26	3.0
1016432	6394339	2013-02-28	3.0
1578159	1940867	2009-01-07	4.0
1040532	2210031	2007-10-29	3.0
12183154	1291832	2009-11-11	5.0
1194866	1820145	2008-02-18	5.0
1423865	3075287	2011-08-04	4.0
1097867	1302476	2010-02-16	5.0
1697648	10727268	2013-02-27	5.0
12568060	1292281	2010-06-21	4.0
1016278	19961360	2013-01-07	4.0
14285756	1301345	2010-07-15	4.0
1346603	1464837	2007-11-05	5.0
1565605	2998253	2012-03-31	5.0
1071442	1292206	2008-09-05	5.0
1084547	1291578	2006-05-23	3.0
1984315	1449381	2008-05-30	4.0
1146361	1291841	2007-07-21	4.0
1174148	1294639	2006-05-30	5.0
1094673	1293015	2010-09-06	5.0
1864240	3550132	2012-03-23	4.0
1575162	2297275	2009-04-21	4.0
1442320	4264147	2010-02-07	4.0
1343113	1293839	2010-02-03	4.0
1046168	1294477	2008-07-04	5.0
1091952	4812830	2011-12-03	4.0
1442218	3911336	2010-11-19	4.0
1049086	1421469	2008-01-15	3.0
13975680	1292401	2009-09-29	5.0
1355916	3017651	2011-03-19	3.0
1062738	1792936	2009-08-16	3.0
13680312	3793023	2010-08-07	5.0
1451966	3313801	2009-02-06	4.0
1247944	3642835	2012-05-27	4.0
1315286	2122836	2011-05-28	5.0
10718064	1845597	2009-11-14	5.0
1489793	1304643	2008-06-25	3.0
1698467	1298070	2008-04-26	5.0
1470863	6870278	2012-11-25	5.0
1514174	4151110	2010-10-17	3.0
1059916	3749943	2012-08-08	3.0
1297538	5344178	2010-12-27	4.0
1190759	5969394	2012-11-05	4.0
1367277	1869467	2010-04-05	4.0
1314390	3734350	2009-06-14	5.0
1065922	1292271	2008-01-24	4.0
16872610	4294119	2010-11-11	4.0
1283607	1305934	2006-10-15	4.0
11097979	1292365	2009-09-16	5.0
1053086	1308777	2005-12-21	4.0
1639564	3039805	2010-02-16	4.0
1112625	1437204	2006-06-12	3.0
1443279	1395546	2010-04-17	4.0
1500440	1340517	2012-03-31	3.0
1914511	1865943	2007-11-02	4.0
11941550	3649049	2012-07-14	4.0
1275227	1793909	2007-09-05	4.0
1648524	1291546	2010-02-17	5.0
1371918	1316572	2011-01-31	5.0
1161266	1298989	2009-12-11	4.0
1178078	1299327	2008-05-22	4.0
1700031	3011235	2011-08-15	5.0
1205390	1306047	2010-08-19	4.0
1805593	3007819	2009-04-25	3.0
1491153	1308047	2007-12-07	4.0
1140480	3742360	2010-12-20	4.0
1133232	6522269	2012-05-30	5.0
1107398	4304302	2011-07-20	4.0
1128442	1293372	2012-08-09	3.0
1757026	1308587	2010-07-18	4.0
1141690	1292828	2006-04-17	4.0
1189127	2132426	2012-09-03	3.0
16353817	4847665	2013-01-10	5.0
1130104	1767002	2012-10-25	4.0
1346653	6794392	2012-11-05	5.0
1444697	3197783	2009-08-07	3.0
1328727	3193101	2009-11-14	4.0
1625694	1303203	2013-01-23	3.0
1698329	1812031	2010-03-03	5.0
1299170	1294376	2006-10-30	4.0
1233601	2209573	2013-01-30	4.0
12792627	2229437	2010-02-13	4.0
1773155	2357711	2008-11-05	5.0
1294492	1461031	2013-04-21	3.0
1963828	1968438	2009-10-31	3.0
1074611	1309060	2009-09-17	4.0
1546597	1307914	2007-05-09	5.0
1681911	1295253	2012-04-12	5.0
1415871	1294534	2007-02-06	5.0
1367640	1303773	2008-09-18	3.0
13984991	2129039	2010-05-14	5.0
1271969	1865012	2008-10-13	3.0
1326004	3610047	2011-07-31	3.0
1025727	1294917	2010-02-06	4.0
1984912	2134294	2010-05-21	3.0
1860713	1892807	2010-03-06	3.0
1196699	1291868	2009-11-10	5.0
1694936	19962285	2012-09-29	4.0
1188419	2033822	2011-06-06	3.0
1313911	1291561	2008-02-29	3.0
13319192	1585236	2010-12-15	4.0
1573782	3103186	2012-06-06	3.0
1461935	6129693	2011-12-16	5.0
17734699	3730636	2012-11-27	4.0
1432940	3111355	2009-12-16	4.0
1494761	1292659	2007-12-11	5.0
1425472	1301169	2011-09-07	3.0
1381050	3777800	2010-05-11	4.0
1112907	1296569	2006-03-17	3.0
1765236	3023164	2011-12-18	4.0
1419434	3875047	2011-01-08	3.0
1062449	4845820	2010-12-06	3.0
1065338	1427818	2008-11-30	3.0
15157006	2213597	2009-10-10	5.0
15233857	3240208	2010-04-04	3.0
1425489	4047267	2010-05-20	3.0
1480262	1297689	2007-05-04	4.0
1072112	2993217	2009-12-02	3.0
1429649	2027938	2008-03-07	4.0
1340768	1393859	2006-12-08	5.0
1029578	1293555	2005-10-02	4.0
1121157	1298898	2007-05-17	4.0
1466423	1299327	2007-06-09	5.0
1345829	1301345	2006-12-14	4.0
15773176	3041281	2011-05-03	3.0
1255664	1296359	2012-01-14	3.0
1179493	1301867	2007-02-07	5.0
17734699	1309297	2011-05-16	4.0
1309106	2077776	2007-11-28	5.0
15187405	3041806	2010-02-02	4.0
1565974	2326212	2009-07-10	4.0
1043162	1292268	2009-03-14	4.0
1487236	1946066	2012-02-25	4.0
1395031	2144242	2009-01-29	4.0
1513318	1300282	2013-01-14	4.0
1931068	1303053	2009-11-27	3.0
1758324	1292286	2007-12-16	4.0
1696531	2229482	2009-02-19	4.0
13918364	1297363	2009-10-07	3.0
1937973	1309015	2011-08-09	4.0
1046713	1297689	2005-11-11	3.0
1634875	1418834	2012-08-11	4.0
13016799	1786735	2013-05-01	3.0
1670346	1309043	2009-02-03	4.0
1965898	1830587	2010-10-11	3.0
18102005	1459368	2010-01-21	4.0
1059541	1865108	2006-10-21	4.0
1751413	2326676	2010-07-12	5.0
1052231	5395243	2011-11-21	3.0
1383407	1980825	2012-07-22	4.0
1933725	2028645	2010-10-19	4.0
1400615	3002885	2011-05-18	3.0
1256620	1316510	2009-05-23	4.0
1816068	6846495	2012-03-14	5.0
1091444	2244739	2010-08-04	3.0
1385956	1301753	2007-01-19	4.0
1814515	1306029	2012-05-23	5.0
1097728	1293839	2011-12-30	5.0
1034334	1465829	2011-07-07	3.0
1636695	2028669	2013-03-31	3.0
1218199	3274505	2011-12-18	4.0
1207606	1303695	2010-03-27	4.0
1435915	10344754	2013-05-13	3.0
1048894	1301174	2010-02-25	5.0
1622630	2237966	2009-10-25	3.0
1625694	6386345	2013-01-16	3.0
1731009	1291548	2010-12-28	4.0
1490267	10573695	2013-01-02	4.0
1807675	1297304	2012-01-29	4.0
1016278	2363876	2013-01-26	4.0
1773057	3013046	2008-11-09	3.0
1234676	1302054	2011-11-21	4.0
1025780	2156528	2009-07-01	5.0
1327807	1428878	2008-01-10	4.0
1843947	1309203	2009-02-05	4.0
15125251	3007809	2012-07-31	4.0
1840266	3148748	2011-02-20	4.0
1519786	3820554	2012-08-04	3.0
14582037	3564151	2012-03-08	5.0
1434985	1768351	2010-03-23	5.0
1780414	1307649	2012-11-14	4.0
1091855	1418192	2009-01-29	4.0
1221508	4317070	2010-10-31	3.0
1195387	3072086	2009-11-08	4.0
1412112	1293013	2009-07-05	4.0
1071097	1291853	2006-04-14	4.0
1341564	1308804	2007-02-04	5.0
11757710	1292720	2009-11-23	5.0
1853505	3742360	2010-12-18	5.0
1641914	2157131	2009-02-07	3.0
1035146	1432146	2008-06-07	4.0
1725379	1305690	2013-01-23	4.0
1772003	6390761	2011-10-03	4.0
1429871	2078864	2009-02-18	4.0
11458928	1981242	2009-09-13	3.0
1236516	4057312	2010-07-18	5.0
1420217	1292371	2009-02-28	3.0
1268401	1308005	2010-12-15	3.0
1595401	2080133	2007-11-09	4.0
1551370	3543690	2009-11-22	3.0
1774452	2028840	2009-12-12	3.0
1443120	2010972	2011-10-17	3.0
1371498	1689787	2009-05-14	3.0
1492330	1950525	2008-03-07	3.0
16220630	1291835	2011-03-24	4.0
15164245	3075287	2011-08-21	4.0
1039078	1301409	2013-03-03	4.0
11020654	3005875	2009-11-23	4.0
1439522	4718369	2012-09-16	3.0
1155670	1309172	2006-06-03	4.0
1439197	3148038	2010-08-04	4.0
1626439	2070367	2008-04-21	4.0
1655481	1304282	2009-01-30	3.0
1096989	1309101	2006-11-29	3.0
11226693	6890730	2012-11-10	3.0
1571097	3231742	2013-05-04	4.0
1914253	2373267	2011-07-30	5.0
1428345	3543690	2009-09-21	4.0
1080722	1308743	2006-01-14	4.0
1124842	3268249	2008-12-13	3.0
1754936	1329950	2008-03-16	3.0
1799837	1998363	2009-01-21	4.0
1701245	1295280	2008-07-28	3.0
1949837	1293135	2009-04-02	4.0
1015866	2252747	2008-07-16	5.0
1270358	4896304	2012-03-04	3.0
